ID,Event,Country,Latitude,Longitude,USGS Event ID,Year,Month,Day,Time of Day (Universal Time Code),Mw,Earthquake Information Source,Fault Type,Depth (km),Ms,Ms Source,Other Magnitude,Other Magnitude Type,Other Magnitude Source,USGS ShakeMap Availability,Inventory,Inventory Source,Total Fatalities,Total Fatalities Source,Total Injuries,Total Injuries Source,Landslide Fatalities,Landslide Fatalities Source,Missing People (Landslide),Missing People Source,Area Affected (km^2),Area Affected Source,Number of Landslides (Primary),Number of Landslides (Primary) Source,Number of Landslides (Secondary),Number of Landslides (Secondary) Source,Number of Landslides (Additional Values and Sources),mLS (Primary),Rodriguez #LS,Keefer # LS,Area of Landslides (km^2),Area of Landslides Source,Volume of Landslides (km^3),Volume of Landslides Source,Max Epicentral Distance (km),Max Distance from Fault-Rupture Zone to Landslides (km),Max Epicentral Distance and Distance from Fault-Rupture Zone Source,Notes
228,"Gorkha, Nepal",Nepal,27.837 ,86.077 ,us20002ejl,2015,5,12,7:05:19,7.8,ComCat,Thrust/Reverse,8.2,7.6,ComCat,,,,Y,Y,"Kargel et al., 2016, Zhang et al., 2016, Tanyas, 2015",218,ComCat,3500,ComCat,,,,,39800,"Kargel et al., 2016; Zhang et al. in press; Tanyas, unpublished",4312,"Kargel et al., 2016",2654,"Zhang et al., 2016","2513 (Tanyas, 2015)",3.634678752,,,15.6,"Tanyas et al., 2017",,,230,120,"Kargel et al., 2016, Zhang et al., in press, Tanyas, unpublished",
229,Nepal,Nepal,28.231 ,84.731 ,us20002926,2015,4,25,6:11:25,7.8,ComCat,Thrust/Reverse,8.2,7.9,ComCat,,,,Y,N,,8831,EMDAT,21592,ComCat,120,Landslide Blog,,,,,24795,"Roback et al., 2017",,,,4.394364113,,,11.7,"Roback et al., 2017",0.67,"Tian et al., 2020",,,,
230,"Nidiri, Greece",Greece,38.67,20.6,us10003ywp,2015,11,17,7:10,6.5,ComCat,Strike-slip,11,6.5,ComCat,6.1,mb,ComCat,Y,N,,2,"Forbes, 2015",4,"The Telegraph, 2015",1,"Forbes, 2015",,,,,240,"Zekkos et al., 2017",,,,2.380211242,,,36,"Valkanotis et al., 2018 ",0.93,"Valkanotis et al., 2018 ",,,,
231,"Kumamoto, Japan",Japan,32.791 ,130.754 ,us20005iis,2016,4,15,16:25:06,7,ComCat,Strike-slip,10,7.3,ComCat,,,,Y,Y,"DSPR-KU, 2016, NIED, 2016",210,"Japan Times, 2016",3129,ComCat,,,,,5321,"Nied, 2016",2742,"NIED, 2016",,,,3.43806745,,,7.7,"NIED, 2016",,,52,51,"NIED, 2016, DSPR-KU, 2016",
232,"Chauk, Burma",Burma,20.92,94.57,us10006gbf,2016,8,24,10:34:54,6.8,ComCat,Thrust/Reverse,82,,,6.6,mb,ComCat,Y,N,,4,EMDAT,2,EMDAT,,,,,,,,,,,,,,,,,,,,,,
233,"Pedernales, Ecuador",Ecuador,-0.38,-79.92,us20005j32,2016,4,16,23:58:36,7.8,ComCat,Thrust/Reverse,20.6,7.5,ComCat,,,,Y,N,,672,EMDAT,27732,ComCat,,,,,18000,"Chunga et al., 2019",192,"Chunga et al., 2019",,,,2.283301229,,,,,,,,,,
234,"Norcia, Italy",Italy,42.72,13.19,us10006g7d,2016,8,24,1:36:32,6.2,ComCat,Normal,4.4,6.1,ComCat,6,mb,ComCat,Y,Y,CEDIT Italian Database,297,ComCat,400,ComCat,,,,,2000,"Tomassi et al., 2019",145,"Martino et al., 2017",,,,2.161368002,,,,,,,36,,"Martino et al., 2017",
235,"Visso, Italy",Italy,42.96,13.07,us1000725y,2016,10,26,19:18:08,6.1,ComCat,Normal,10,6,ComCat,6.1,mb,ComCat,Y,Y,CEDIT Italian Database,1,EMDAT,24,EMDAT,,,,,,,,,,,,,,,,,,,,,,
236,"Norcia, Italy",Italy,42.86,13.1,us1000731j,2016,10,30,6:40:18,6.6,ComCat,Normal,8,6.6,ComCat,6.1,mb,ComCat,Y,Y,CEDIT Italian Database,0,EMDAT,20,EMDAT,0,EMDAT,,,,,,,,,,,,,,,,,,,,
237,"Kaikoura, New Zealand",New Zealand,-42.74,173.05,us1000778i,2016,11,13,11:02:56,7.8,ComCat,Thrust/Reverse,15.1,8.1,ComCat,6.8,mb,ComCat,Y,Y,"Massey et al., 2018",2,EMDAT,50,EMDAT,0,"BBC, 2016",,,12000,"Jibson et al., 2018",10195,"Massey et al., 2018",,,,4.00838723,,,,,,,,,,
238,"Paguna, Papua New Guinea",Papua New Guinea,-6.246,155.172,us10007uph,2017,1,22,4:30:22,7.9,ComCat,Thrust/Reverse,135,,,7.2,mb,ComCat,Y,N,,3,ComCat,1,Comcat,3,ComCat,,,,,,,,,,,,,,,,,,,,
239,"Tres Picos, Mexico",Mexico,15.02,-93.9,us2000ahv0,2017,9,8,4:49:19,8.2,ComCat,Normal,47.4,8.3,ComCat,7.2,mb,ComCat,Y,N,,98,EMDAT,250,EMDAT,,,,,,,,,,,,,,,,,,,,,,
240,"Ayutla, Mexico",Mexico,18.55,-98.49,us2000ar20,2017,9,19,18:14:38,7.1,ComCat,Normal,48,7,ComCat,6.6,mb,ComCat,Y,N,,369,EMDAT,6000,EMDAT,1,"Montgomery et al., 2020",,,6440,"Montgomery et al., 2020",,,,,,,,,,,,,100,,"Montgomery et al., 2020",
241,"Halabjah, Iraq",Iraq,34.91,45.96,us2000bmcg,2017,11,12,18:18:17,7.3,ComCat,Thrust/Reverse,19,7.3,ComCat,6.9,mb,ComCat,Y,N,,454,EMDAT,9469,EMDAT,,,,,,,,,,,,,,,,,,,,,,
242,"Parrita, Costa Rica",Costa Rica,9.52,-84.49,us2000bmhe,2017,11,13,2:28:23,6.5,ComCat,Thrust/Reverse,19.4,6.6,ComCat,6.1,mb,ComCat,Y,N,,3,"Q Costa Rica News, 2017",2,"Fox News, 2017",,,,,,,,,,,,,,,,,,,,,,
243,"Nyingchi, China",China,29.83,94.98,us2000bqsn,2017,11,17,22:34:19,6.4,ComCat,Thrust/Reverse,8,6.9,ComCat,6.2,mb,ComCat,Y,Y,"Zhao et al., 2019",0,EMDAT,3,EMDAT,0,EMDAT,,,527,"Zhao et al., 2019",1827,"Zhao et al., 2019",,,,3.261738547,,,,,,,,,,
244,"Porgera, Papua New Guinea",Papua New Guinea,-6.07,142.75,us2000d7q6,2018,2,25,17:44:44,7.5,ComCat,Thrust/Reverse,25.2,7.7,ComCat,7,mb,ComCat,Y,N,,145,EMDAT,300,EMDAT,,,,,,,,,,,,,,,,,,,,,,
245,"Leilani Estates, Hawaii, USA",United States of America,19.32,-155,us1000dyad,2018,5,4,22:32:54,6.9,ComCat,Thrust/Reverse,5.8,6.4,ComCat,6,mb,ComCat,Y,N,,0,EMDAT,0,EMDAT,,,,,,,,,,,,,,,,,,,,,,
246,"Hirakata, Japan",Japan,34.83,135.64,us1000eu1c,2018,6,17,22:58:34,5.5,ComCat,Thrust/Reverse,10.3,5.2,ComCat,5.9,mb,ComCat,Y,N,,5,EMDAT,417,EMDAT,,,,,,,,,,,,,,,,,,,,,,
247,"Palata, Italy",Italy,41.88,14.81,us1000gaq7,2018,8,16,18:19:05,5.3,ComCat,Normal,11.6,,,5.3,mb,ComCat,Y,Y,"Martino et al., 2020",,,,,,,,,,,88,"Martino et al., 2020",,,,1.944482672,,,,,,,,,,
248,"Labuan Lombok, Indonesia",Indonesia,-8.319,116.627,us1000gda5,2018,8,19,14:56:27,6.9,ComCat,Thrust/Reverse,21,6.9,ComCat,6.4,mb,ComCat,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,"Hokkaido Iburi-Tobu, Japan",Japan,42.69,141.93,us2000h8ty,2018,9,5,18:07:59,6.6,ComCat,Thrust/Reverse,35,6.8,ComCat,6.5,mb,ComCat,Y,Y,"Zhang et al., 2019",44,EMDAT,680,EMDAT,36,"Yamagishi and Yamazaki, 2018",,,1557,"Zhang et al., 2019",5625,"Zhang et al., 2019",,,,3.750122527,,,700,"Wang et al., 2019",23000-38000,"Wang et al., 2019",,,,
250,"Palu, Indonesia",Indonesia,-0.26,119.85,us1000h3p4,2018,9,28,10:02:45,7.5,ComCat,Strike-slip,20,7.4,ComCat,6.6,mb,ComCat,Y,N,,4340,EMDAT,2531,EMDAT,,,,,,,,,,,,,,,,,,,,,,
251,"Lithakia, Greece",Greece,37.52,20.557,us1000hhb1,2018,10,25,22:54:52,6.8,ComCat,Strike-slip,14,6.9,ComCat,6.3,mb,ComCat,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,"Anchorage, Alaska, USA",United States of America,61.35,-149.96,ak20419010,2018,11,30,17:29:29,7.1,ComCat,Normal,46.7,,,,,,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,"Coquimbo, Chile",Chile,-30.04,-71.382,us2000j6hy,2019,1,20,1:32:52,6.7,ComCat,Normal,63,,,6.6,mb,Comcat,Y,N,,2,ComCat,,,0,ComCat,,,,,,,,,,,,,,,,,,,,
254,"Palora, Ecuador",Ecuador,-2.186,-77.051,us2000jilf,2019,2,22,10:17:23,7.5,ComCat,Normal,145,,,6.8,mb,ComCat,Y,N,,1,ComCat,9,ComCat,,,,,,,,,,,,,,,,,,,,,,
255,"Haulien City, Taiwan",Taiwan,24.037,121.65,us700039c1,2019,4,18,5:01:06,6.1,ComCat,Thrust/Reverse,20,6.2,ComCat,6.3,mb,ComCat,Y,N,,1,ComCat,16,ComCat,1,ComCat,,,,,,,,,,,,,,,,,,,,Videos of rockfalls available
256,"Floridablanca, Philippines",Philippines,14.95,120.52,us70003a63,2019,4,22,9:11:12,6.1,ComCat,Normal,21.8,6,ComCat,6,mb,ComCat,Y,N,,25,EMDAT,282,EMDAT,1,Landslide Blog,,,,,,,,,,,,,150,Landslide Blog,,,,,,
257,"Lagunas, Peru",Peru,-5.81,-75.27,us60003sc0,2019,5,26,7:41:15,8,ComCat,Normal,122.6,,,7.3,mb,ComCat,Y,N,,2,EMDAT,30,EMDAT,2,"Scientific American, 2019",,,,,,,,,,,,,,,,,,,,
258,"La Libertad, El Salvador",El Salvador,13.2,-89.31,us70003t2n,2019,5,30,9:03:32,6.6,ComCat,Normal,57.9,,,6.2,mb,ComCat,Y,N,,1,EMDAT,,,,,,,,,,,,,,,,,,,,,,,,
259,"Ridgecrest, California, USA",United States of America,35.705,-117.504,ci38443183,2019,7,4,17:33:49,6.4,ComCat,Strike-slip,10.5,,,6.4,mw,ComCat,Y,N,,0,ComCat,20,ComCat,,,,,,,,,,,,,,,,,,,,,,
260,"Ridgecrest, California, USA",United States of America,35.77,-117.6,ci38457511,2019,7,6,3:19:53,7.1,ComCat,Strike-slip,8,,,,,,Y,N,,1,"KTLA News, 2019",20,"NHK News, 2019",,,,,22000,"Jibson, 2020",,,,,,,,,,,,,114,,"Jibson, 2020",
261,"Kairatu, Indonesia",Indonesia,-3.45,128.37,us70005lfd,2019,9,25,23:46:43,6.5,ComCat,Normal,12.3,6.5,ComCat,6.2,mb,ComCat,Y,N,,31,EMDAT,179,EMDAT,1,"DETIK news, 2019",,,,,,,,,,,,,,,,,,,,
262,"Columbio, Philippines",Philippines,6.72,125.01,us70005ulm,2019,10,16,11:37:06,6.4,ComCat,Normal,16.1,6.3,ComCat,6.2,mb,ComCat,Y,N,,7,EMDAT,215,EMDAT,2,"Associated Press, 2019",,,,,,,,,,,,,,,,,,,,
263,"Columbio, Philippines",Philippines,6.76,125.01,us6000645n,2019,10,29,1:04:43,6.6,ComCat,Normal,15,6.5,ComCat,6.3,mb,ComCat,Y,N,,10,EMDAT,395,EMDAT,3,"NDRRMC, 2019",6,"NDRRMC, 2019",,,,,,,,,,,,,,,,,,
264,"Kisante, Philippines",Philippines,6.91,125.18,us700061e9,2019,10,31,1:11:19,6.5,ComCat,Normal,10,6.5,ComCat,6.3,mb,ComCat,Y,N,,23,EMDAT,417,EMDAT,2,"NDRRMC, 2019",5,"NDRRMC, 2019",,,,,,,,,,,,,,,,,,
265,"Mamurras, Albania",Albania,41.51,19.53,us70006d0m,2019,11,26,2:54:12,6.4,ComCat,Thrust/Reverse,22,6.6,ComCat,6.2,mb,ComCat,Y,N,,51,EMDAT,2000,EMDAT,,,,,,,,,,,,,,,,,,,,,,
266,"Magsaysay, Philippines",Philippines,6.7,125.17,us60006rp9,2019,12,15,6:11:51,6.8,ComCat,Strike-slip,18,6.8,ComCat,6.3,mb,ComCat,Y,N,,10,EMDAT,111,EMDAT,,,,,,,,,,,,,,,,,,,,,,
267,"Lejanias, Columbia",Columbia,3.536,-74.018,us70007qnn,2019,12,24,19:03:52,6,ComCat,Oblique Strike-slip,11,5.7,ComCat,6,mb,ComCat,Y,Y,"Delgado, Chaparro et al., 2020",,,,,,,,,,,,,,,,,,,,,,,,,,
268,"Indios, Puerto Rico",Puerto Rico,17.86,-66.83,us70006vll,2020,1,7,8:24:25,6.4,ComCat,Normal,9,6.4,ComCat,6.3,mb,ComCat,Y,Y,"Knoper, L. et al, 2020",2,EMDAT,8,EMDAT,,,,,,,800+,"Knoper, L. et al, 2020",,,,,,,,,,,,,,
269,"Doganyol, Turkey",Turkey,38.41,39.07,us60007ewc,2020,1,24,17:55:14,6.7,ComCat,Strike-slip,10,6.7,ComCat,6.2,mb,ComCat,Y,N,,41,EMDAT,1607,EMDAT,,,,,,,,,,,,,,,,,,,,,,
270,"Challis, Idaho, USA",United States of America,44.45,-115.14,us70008jr5,2020,3,31,23:52:31,6.5,ComCat,Strike-slip,10,,,6.1,mb,ComCat,Y,N,,2,ComCat,0,"Washington Post, 2020",,,,,,,,,,,,,,,,,,,,,,
271,"Monte Cristo Range, Nevada, USA",United States of America,38.16,-117.85,nn00725272,2020,5,15,11:03:27,6.5,ComCat,Strike-slip,2.7,,,6.5,ml,ComCat,Y,N,,0,"Monte Cristo Range Earthquake, 2020",0,"Monte Cristo Range Earthquake, 2020",0,"Monte Cristo Range Earthquake, 2020",,,,,,,,,,,,,,,,,,,,
272,"Santa Maria Xadani, Mexico",Mexico,15.886,-96.008,us6000ah9t,2020,6,23,15:29:04,7.4,ComCat,Thrust/Reverse,20,7.6,ComCat,6.5,mb,ComCat,Y,N,,10,ComCat,12,ComCat,,,,,,,,,,,,,,,,,,,,,,
273,"Popondetta, Papua New Guinea",Papua New Guinea,-7.836,147.77,us7000aq3e,2020,7,17,2:50:22,7,ComCat,Oblique Strike-slip,73,,,6.8,mb,ComCat,Y,N,,1,ComCat,1,ComCat,1,ComCat,,,,,,,,,,,,,,,,,,,,
274,"Vallenar, Chile",Chile,-27.969,-71.306,us7000bfjr,2020,9,1,4:09:28,6.8,ComCat,Thrust/Reverse,21,6.7,ComCat,6.5,mb,ComCat,Y,N,,0,ComCat,0,ComCat,0,ComCat,,,,,,,,,,,,,,,,,,,,
275,"Néon Karlovásion, Greece",Greece,37.897,26.784,us7000c7y0,2020,10,30,11:51:27,7,ComCat,Normal,21,7.1,ComCat,6.5,mb,ComCat,Y,N,,117,ComCat,1034,ComCat,,,,,,,,,,,,,,,,,,,,,,"Mavroulis et Al, 2020 (possibly an inventory)"
276,"Pretrinja, Croatia",Croatia,45.424,16.257,us6000d3zh,2020,12,29,11:19:54,6.4,ComCat,Strike-slip,2,6.6,ComCat,6,mb,ComCat,Y,N,,7,ComCat,26,ComCat,,,,,,,,,,,,,,,,,,,,,,"Tondi et Al, 2020"
277,"Namie, Japan",Japan,37.727,141.775,us6000dher,2021,2,13,14:07:49,7.1,ComCat,Thrust/Reverse,44,6.9,ComCat,6.9,mb,ComCat,Y,N,,1,"Wikipedia 2021 Fukushima Earthquake, 2021",186,"Wikipedia 2021 Fukushima Earthquake, 2021",0,"Wikipedia 2021 Fukushima Earthquake, 2021",,,,,,,,,,,,,,,,,,,,
278,"Kermadec Islands, New Zealand",New Zealand,-29.723,177.279,us7000dflf,2021,3,4,19:28:33,8.1,ComCat,Thrust/Reverse,28.9,8.2,ComCat,7,mb,ComCat,Y,Y,"GeoNet Landslides on Raoul Island from Recent Earthquakes, 2021",0,"Geo Engineer Numerous Landslides Reported on Raoul Island, 2021",,,0,"Geo Engineer Numerous Landslides Reported on Raoul Island, 2021",,,,,300+,"Geo Engineer Numerous Landslides Reported on Raoul Island, 2021",,,,,,,,,,,,,,
279,"Dali, China",China,25.744,100.016,us7000e532,2021,5,21,13:48:37,6.1,ComCat,Strike-slip,9,6.2,ComCat,5.6,mb,ComCat,Y,N,,3,"Reuters Quake in China's Yunnan Province, 2021",28,"Reuters Quake in China's Yunnan Province, 2021",,,,,,,,,,,,,,,,,,,,,,
280,"Antelope Valley, California, USA",United States of America,38.508,119.5,nc73584926,2021,7,8,22:49:48,6,ComCat,Normal,7.5,,,,,,Y,N,,0,ComCat,0,ComCat,0,ComCat,,,,,,,,,,,,,,,,,,,,
281,"Nippes, Haiti",Haiti,18.408,-73.475,us6000f65h,2021,8,14,12:29:08,7.2,ComCat,Strike-slip,10,7.4,ComCat,,,,Y,N,,2207,"Wikipedia 2021 Haiti earthquake, 2021","12,268","Wikipedia 2021 Haiti earthquake, 2021",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"For historical earthquakes, time to the second was not available",,,,,,,,*NA = not reported,Rodriguez 1999; Mw also available,,,,,,,,,,,,,,,,,,,,"KEY for 'Rodriguez #LS' (Column AP): 2=10-100;3=100-1000;2-3=10-1000, 4=1000-10000, 5=>10,000; 4-5=10,000-100,000",,,,,,,,,
,References:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Adams, J. (1980). Contemporary uplift and erosion of the Southern Alps, New Zealand. Geological Society of America Bulletin, 91(1_Part_II), 1-114.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Alexander, D. E. (1981). The Earthquake of 23 November 1980 in Campania and Basilicata. Southern Italy.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Alfaro, P., Delgado, J., Garcia-Tortosa, F. J., Lenti, L., Lopez, J. A., Lopez-Casado, C., & Martino, S. (2012). Widespread landslides induced by the Mw 5.1 earthquake of 11 May 2011 in Lorca, SE Spain. Engineering Geology, 137, 40-52.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Anagnostopolous, S. A., Rinaldis, D., Lekidis, V. A., Margaris, V. N., & Theodulidis, N. P. (1987). The Kalamata, Greece, earthquake of September 13, 1986. Earthquake spectra, 3(2), 365-402.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Alvarado GE, Morales LD, Montero W, Climent A, Rojas W (1988) Aspectos sismológicos y morfo tectónicos del extremo occidental de la Cordillera Volcánica Central,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Barquero R, Peraldo G (1993) El temblor de Pejibaye de Turrialba del 10 de Julio de 1993: aspectos sismológi- cos, neotectónicos y geotécnicos. Informe interno del Instituto Costarricense de Electricidad 1–32 (In Spanish)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Bommer, J. J., & Rodr??guez, C. E. (2002). Earthquake-induced landslides in Central America. Engineering Geology, 63(3), 189-220.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Boschini I, Alvarado G, Rojas W (1988) El terremoto de Buena Vista de Pérez Zeledón (Julio 3, 1983): Evidencia de una fuente sismológica intraplaca desconocida en Costa Rica. Rev Geol Am Central 8:111–120 (In Spanish with English abstract)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Caracterización del movimiento del suelo y sus efectos en la infraestructura durante los terremotos del 2001, El Salvador. SNET",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Chen, X. L., Yu, L., Wang, M. M., Lin, C. X., Liu, C. G., & Li, J. Y. (2014). Brief communication: landslides triggered by the Ms= 7.0 Lushan earthquake, China. Natural Hazards and Earth System Sciences, 14(5), 1257.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Chunga, K., Livio, F. A., Martillo, C., Lara-Saavedra, H., Ferrario, M. F., Zevallos, I., & Michetti, A. M. (2019). Landslides Triggered by the 2016 Mw 7.8 Pedernales, Ecuador Earthquake: Correlations with ESI-07 Intensity, Lithology, Slope and PGA-h. Geosciences, 9(9), 371.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Climent A, Rojas W, Alvarado GE, Benito B (2009) Costa Rica. In: Benito B, Torres Y (eds) Amenaza sísmica en América Central. Entinema, Madrid, pp 229–251",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Cluff, L. S. (1971). Peru earthquake of May 31, 1970; engineering geology observations. Bulletin of the Seismological Society of America, 61(3), 511-533.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Delgado, H. G., Chaparro, J., Gamboa, C., Ruiz, G., (2020). Landslides triggered by the December 24, 2019 Mesetas (Meta, Columbia) Earthquake. International Symposium on Landslides",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Dellow, G., Yetton, M., Massey, C., Archibald, G., Barrell, D. J. A., Bell, D., ... & Easton, M. (2011). Landslides caused by the 22 February 2011 Christchurch earthquake and management of landslide risk in the immediate aftermath. Bulletin of the New Zealand Society for Earthquake Engineering, 44(4), 227-238.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Downes, G. L. (2006). The 1904 MS= 6.8 MW= 7.0-7.2 Cape Turnagain, New Zealand, Earthquake. Bulletin of the New Zealand Society for Earthquake Engineering, 39(4), 183-207.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Dowrick, D. J. (1994). Damage and intensities in the magnitude 7.8 1929 Murchison, New Zealand, earthquake. Bulletin of the New Zealand Society for Earthquake Engineering, 27(3), 190-204.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Dowrick, D. J. (1998). Damage and intensities in the magnitude 7.8 1931 Hawke's Bay, New Zealand, earthquake. Bulletin of the New Zealand Society for Earthquake Engineering, 31(3), 139-163.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Dowrick, D. J. (2005, September). Strong ground shaking in the 1855 Wairarapa earthquake. In The 1855 Wairarapa Earthquake Symposium (p. 79).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Dowrick, D. J., Rhoades, D. A., (1998). ""Magnitudes of New Zealand earthquakes, 1901-1993"". Bulletin of the New Zealand National Society for Earthquake Engineering 31: 260-280.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Durkin, M. E., Thiel Jr, C. C., & Schneider, J. E. (1984). Casualties and emergency medical response. The Loma Prieta, California, Earthquake of October 17, 1989-Loss Estimation and Procedures, 9.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"EERI. (2010). The Mw 7.0 Haiti Earthquake of January 12, 2010: Report #2. EERI Special Earthquake Report.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Escuela Polítecnica Nacional del Ecuador, USAID, National Research Council. 1991. The March 5, 1987 Ecuador Earthquakes-Mass Wasting and Socioeconomic Effects. The National Academy Press: Washington D.C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Espinosa, A. F. (1976). The Guatemalan Earthquake of February 4, 1976. US Geological Survey Professional Paper, 1002, 90.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Fire and Disaster Management Agency, Final report on 2004 Niigata-ken Chuetsu Earthquake, 2009.10.21 (in Japanese)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Fukuoka, H. (1995). On the runout mechanism of Takarazuka golf course landslide, in. Report of the Researches on Landslides and Slope Failures Triggered by the 1995 Hyogoken Nanbu Earthquake and Others, 49-59.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Fukuoka, H., Sassa, K., & Scarascia-Mugnozza, G. (1997). Distribution of landslides triggered by the 1995 Hyogo-ken Nanbu earthquake and long runout mechanism of the Takarazuka Golf Course landslide. Journal of Physics of the Earth, 45(2), 83-90.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Allen and Unwin. (1982). Disaster and reconstruction: The friuli, italy, earthquakes of 1976. London; Boston: ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Gorum, T., van Westen, C. J., Korup, O., van der Meijde, M., Fan, X., & van der Meer, F. D. (2013). Complex rupture mechanism and topography control symmetry of mass-wasting pattern, 2010 Haiti earthquake. Geomorphology, 184, 127-138.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Han, L., Zeng, X., Jiang, C., Ni, S., Zhang, H., & Long, F. (2014). Focal mechanisms of the 2013 Mw 6.6 Lushan, China earthquake and high?resolution aftershock relocations. Seismological Research Letters, 85(1), 8-14.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Hancox, G. T., Dellow, G. D., & Perrin, N. D. (1997). Earthquake-induced landsliding in New Zealand and implications for MM intensity and seismic hazard assessment. Institute of Geological & Nuclear Sciences.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Harp, E. L., & Jibson, R. W. (1996). Landslides triggered by the 1994 Northridge, California, earthquake. Bulletin of the Seismological Society of America, 86(1B), S319-S332.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Harp, E. L., Keefer, D. K., Sato, H. P., & Yagi, H. (2011). Landslide inventories: the essential part of seismic landslide hazard analyses. Engineering Geology, 122(1-2), 9-21.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"United States Geological Survey, & Harp, E. L. (1984). Landslides from the May 25-27, 1980, Mammoth Lakes, California, earthquake sequence. The Survey.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Harp, E. L., Wilson, R. C., & Wieczorek, G. F. (1981). Landslides from the February 4, 1976, Guatemala earthquake (No. 551.3 HAR). Washington, DC: US Government Printing Office.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Harp, E. L., Wilson, R. C., & Wieczorek, G. F. (1981). Landslides from the February 4, 1976, Guatemala earthquake (No. 551.3 HAR). Washington, DC: US Government Printing Office.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Hikima, K., Miyazaki, S., & Koketsu, K. (2008). Rupture process of the 2008 Iwate-Miyagi Nairiku earthquake (Mj 7.2), Japan, inferred from strong motion and geodetic data. AGUFM, 2008, S51D-1789.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Hough, S. E. (2012). Initial assessment of the intensity distribution of the 2011 Mw 5.8 Mineral, Virginia, earthquake. Seismological Research Letters, 83(4), 649-657.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
